Region,,ISO code,Language name,,# Datasets
Indonesia,,bti,Burate,,1
Indonesia,,bzu,Burmeso,,1
Indonesia,,mhs,Buru,,1
Indonesia,,aip,Burumakok,,1
Indonesia,,bqr,Burusu,,1
Indonesia,,asi,Buruwai,,1
Indonesia,,bsm,Busami,,1
Indonesia,,bfg,Busang Kayan,,0
Indonesia,,bup,Busoa,,1
Indonesia,,asc,Casuarina Coast Asmat,,1
Indonesia,,cns,Central Asmat,,1
Indonesia,,awu,Central Awyu,,1
Indonesia,,pse,Central Malay,,3
Indonesia,,mxz,Central Masela,,1
Indonesia,,cia,Cia-Cia,,1
Indonesia,,txt,Citak,,1
Indonesia,,kjc,Coastal Konjo,,1
Indonesia,,liw,Col,,0
Indonesia,,kzf,Da’a Kaili,,2
Indonesia,,dbe,Dabe,,1
Indonesia,,dij,Dai,,1
Indonesia,,dkk,Dakka,,0
Indonesia,,uhn,Damal,,1
Indonesia,,dms,Dampelas,,1
Indonesia,,daz,Dao,,0
Indonesia,,ddw,Dawera-Daweloor,,1
Indonesia,,row,Dela-Oenale,,1
Indonesia,,dem,Dem,,1
Indonesia,,dei,Demisa,,1
Indonesia,,dnk,Dengka,,0
Indonesia,,nfa,Dhao,,3
Indonesia,,tbp,Diebroud,,1
Indonesia,,mrx,Dineor,,1
Indonesia,,diy,Diuwe,,1
Indonesia,,kbv,Dla,,1
Indonesia,,kvo,Dobel,,1
Indonesia,,dok,Dondo,,1
Indonesia,,tds,Doutai,,1
Indonesia,,dup,Duano,,0
Indonesia,,mvp,Duri,,2
Indonesia,,dbn,Duriankere,,1
Indonesia,,dsn,Dusner,,1
Indonesia,,dun,Dusun Deyah,,1
Indonesia,,duq,Dusun Malang,,1
Indonesia,,duw,Dusun Witu,,1
Indonesia,,duv,Duvle,,1
Indonesia,,dmr,East Damar,,1
Indonesia,,mky,East Makian,,1
Indonesia,,vme,East Masela,,1
Indonesia,,tre,East Tarangan,,1
Indonesia,,nea,Eastern Ngad’a,,0
Indonesia,,awy,Edera Awyu,,1
Indonesia,,dbf,Edopi,,1
Indonesia,,ekg,Ekari,,1
Indonesia,,mrf,Elseng,,1
Indonesia,,emb,Embaloh,,1
Indonesia,,enr,Emem,,1
Indonesia,,emw,Emplawas,,1
Indonesia,,end,Ende,,2
Indonesia,,eno,Enggano,,1
Indonesia,,ptt,Enrekang,,1
Indonesia,,ert,Eritai,,1
Indonesia,,erw,Erokwanas,,1
Indonesia,,fau,Fayu,,2
Indonesia,,pdn,Fedan,,0
Indonesia,,flh,Foau,,1
Indonesia,,frd,Fordata,,2
Indonesia,,gbi,Galela,,3
Indonesia,,gal,Galolen,,3
Indonesia,,gak,Gamkonora,,0
