display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Bakumpai (bkr),bkr,Bakumpai,Indonesia,Indonesia,100000
Balaesang (bls),bls,Balaesang,Indonesia,Indonesia,3200
Balantak (blz),blz,Balantak,Indonesia,Indonesia,31000
Bali (ban),ban,Bali,Indonesia,Indonesia,3330000
Balinese Malay (mhp),mhp,Balinese Malay,Indonesia,Indonesia,25000
Bambam (ptu),ptu,Bambam,Indonesia,Indonesia,22000
Banda (bnd),bnd,Banda,Indonesia,Indonesia,3000
Banda Malay (bpq),bpq,Banda Malay,Indonesia,Indonesia,3690
Banggai (bgz),bgz,Banggai,Indonesia,Indonesia,125000
Bangka (mfb),mfb,Bangka,Indonesia,Indonesia,340000
Banjar (bjn),bjn,Banjar,Indonesia,Indonesia,3500000
Bantik (bnq),bnq,Bantik,Indonesia,Indonesia,3000
Barakai (baj),baj,Barakai,Indonesia,Indonesia,4450
Barapasi (brp),brp,Barapasi,Indonesia,Indonesia,2500
Baras (brs),brs,Baras,Indonesia,Indonesia,250
Basap (bdb),bdb,Basap,Indonesia,Indonesia,15000
Batak Alas-Kluet (btz),btz,Batak Alas-Kluet,Indonesia,Indonesia,195000
Batak Angkola (akb),akb,Batak Angkola,Indonesia,Indonesia,750000
Batak Dairi (btd),btd,Batak Dairi,Indonesia,Indonesia,1200000
Batak Karo (btx),btx,Batak Karo,Indonesia,Indonesia,600000
Batak Mandailing (btm),btm,Batak Mandailing,Indonesia,Indonesia,1100000
Batak Simalungun (bts),bts,Batak Simalungun,Indonesia,Indonesia,1200000
Batak Toba (bbc),bbc,Batak Toba,Indonesia,Indonesia,2000000
Bati (bvt),bvt,Bati,Indonesia,Indonesia,3500
Batui (zbt),zbt,Batui,Indonesia,Indonesia,2900
Batuley (bay),bay,Batuley,Indonesia,Indonesia,3640
Bau Bidayuh (sne),sne,Bau Bidayuh,"Indonesia, Malaysia",Indonesia,29200
Bauzi (bvz),bvz,Bauzi,Indonesia,Indonesia,1500
Bayono (byl),byl,Bayono,Indonesia,Indonesia,100
Bedoanas (bed),bed,Bedoanas,Indonesia,Indonesia,180
Beginci (ebc),ebc,Beginci,Indonesia,Indonesia,7800
