display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Ma’anyan (mhy),mhy,Ma’anyan,Indonesia,Indonesia,150000
Ma’ya (slz),slz,Ma’ya,Indonesia,Indonesia,4000
Maba (mqa),mqa,Maba,Indonesia,Indonesia,6620
Madura (mad),mad,Madura,Indonesia,Indonesia,6770000
Mai Brat (ayz),ayz,Mai Brat,Indonesia,Indonesia,20000
Mainstream Kenyah (xkl),xkl,Mainstream Kenyah,"Indonesia, Malaysia",Indonesia,12000
Mairasi (zrs),zrs,Mairasi,Indonesia,Indonesia,3300
Maiwa (wmm),wmm,Maiwa,Indonesia,Indonesia,50000
Makasar (mak),mak,Makasar,Indonesia,Indonesia,2530000
Makassar Indonesian (mfp),mfp,Makassar Indonesian,Indonesia,Indonesia,1880000
Maklew (mgf),mgf,Maklew,Indonesia,Indonesia,120
Malayic Dayak (xdy),xdy,Malayic Dayak,Indonesia,Indonesia,520000
Malimpung (mli),mli,Malimpung,Indonesia,Indonesia,5000
Mamasa (mqj),mqj,Mamasa,Indonesia,Indonesia,100000
Mamboru (mvd),mvd,Mamboru,Indonesia,Indonesia,10000
Mamuju (mqx),mqx,Mamuju,Indonesia,Indonesia,60000
Manado Malay (xmm),xmm,Manado Malay,Indonesia,Indonesia,2350000
Mandar (mdr),mdr,Mandar,Indonesia,Indonesia,475000
Mander (mqr),mqr,Mander,Indonesia,Indonesia,20
Mandobo Atas (aax),aax,Mandobo Atas,Indonesia,Indonesia,10000
Mandobo Bawah (bwp),bwp,Mandobo Bawah,Indonesia,Indonesia,20000
Manem (jet),jet,Manem,Indonesia,Indonesia,500
Manggarai (mqy),mqy,Manggarai,Indonesia,Indonesia,792000
Mangole (mqc),mqc,Mangole,Indonesia,Indonesia,7280
Manipa (mqp),mqp,Manipa,Indonesia,Indonesia,1500
Manombai (woo),woo,Manombai,Indonesia,Indonesia,9110
Mapia (mpy),mpy,Mapia,Indonesia,Indonesia,0
Marau (mvr),mvr,Marau,Indonesia,Indonesia,1700
Marind (mrz),mrz,Marind,Indonesia,Indonesia,7000
Mariri (mqi),mqi,Mariri,Indonesia,Indonesia,280
Masimasi (ism),ism,Masimasi,Indonesia,Indonesia,10
Masiwang (bnf),bnf,Masiwang,Indonesia,Indonesia,1000
Massep (mvs),mvs,Massep,Indonesia,Indonesia,25
Matbat (xmt),xmt,Matbat,Indonesia,Indonesia,1250
Mateq (xem),xem,Mateq,Indonesia,Indonesia,11000
Mawes (mgk),mgk,Mawes,Indonesia,Indonesia,850
Mekwei (msf),msf,Mekwei,Indonesia,Indonesia,1200
Mendalam Kayan (xkd),xkd,Mendalam Kayan,Indonesia,Indonesia,1500
Mentawai (mwv),mwv,Mentawai,Indonesia,Indonesia,58000
Meoswar (mvx),mvx,Meoswar,Indonesia,Indonesia,250
Mer (mnu),mnu,Mer,Indonesia,Indonesia,85
Meyah (mej),mej,Meyah,Indonesia,Indonesia,14800
Mid Grand Valley Dani (dnt),dnt,Mid Grand Valley Dani,Indonesia,Indonesia,50000
Minangkabau (min),min,Minangkabau,Indonesia,Indonesia,5530000
Mlap (kja),kja,Mlap,Indonesia,Indonesia,300
Mo (wkd),wkd,Mo,Indonesia,Indonesia,550
Modang (mxd),mxd,Modang,Indonesia,Indonesia,15300
Modole (mqo),mqo,Modole,Indonesia,Indonesia,2000
Moi Kelim (mxn),mxn,Moi Kelim,Indonesia,Indonesia,4600
Moi Lemas (sbg),sbg,Moi Lemas,Indonesia,Indonesia,1200
Moksela (vms),vms,Moksela,Indonesia,Indonesia,0
Molof (msl),msl,Molof,Indonesia,Indonesia,230
Moma (myl),myl,Moma,Indonesia,Indonesia,5500
Mombum (mso),mso,Mombum,Indonesia,Indonesia,250
Momina (mmb),mmb,Momina,Indonesia,Indonesia,200
Momuna (mqf),mqf,Momuna,Indonesia,Indonesia,2000
Mongondow (mog),mog,Mongondow,Indonesia,Indonesia,230000
Moni (mnz),mnz,Moni,Indonesia,Indonesia,20000
Mor (mhz),mhz,Mor,Indonesia,Indonesia,700
Mor (moq),moq,Mor,Indonesia,Indonesia,30
Moraid (msg),msg,Moraid,Indonesia,Indonesia,1000
Mori Atas (mzq),mzq,Mori Atas,Indonesia,Indonesia,14000
Mori Bawah (xmz),xmz,Mori Bawah,Indonesia,Indonesia,14000
Moronene (mqn),mqn,Moronene,Indonesia,Indonesia,37000
Morop (iwo),iwo,Morop,Indonesia,Indonesia,6900
Morori (mok),mok,Morori,Indonesia,Indonesia,50
Moskona (mtj),mtj,Moskona,Indonesia,Indonesia,8000
Mpur (akc),akc,Mpur,Indonesia,Indonesia,7000
Mualang (mtd),mtd,Mualang,Indonesia,Indonesia,40000
Muna (mnb),mnb,Muna,Indonesia,Indonesia,300000
Munggui (mth),mth,Munggui,Indonesia,Indonesia,800
Murkim (rmh),rmh,Murkim,Indonesia,Indonesia,290
Musi (mui),mui,Musi,Indonesia,Indonesia,3105000
Nafri (nxx),nxx,Nafri,Indonesia,Indonesia,1630
Nage (nxe),nxe,Nage,Indonesia,Indonesia,50000
Naka’ela (nae),nae,Naka’ela,Indonesia,Indonesia,5
Nakai (nkj),nkj,Nakai,Indonesia,Indonesia,700
Nalca (nlc),nlc,Nalca,Indonesia,Indonesia,16000
Namla (naa),naa,Namla,Indonesia,Indonesia,30
Napu (npy),npy,Napu,Indonesia,Indonesia,6100
Nasal (nsy),nsy,Nasal,Indonesia,Indonesia,3000
Ndom (nqm),nqm,Ndom,Indonesia,Indonesia,1200
Nduga (ndx),ndx,Nduga,Indonesia,Indonesia,10000
Nedebang (nec),nec,Nedebang,Indonesia,Indonesia,200
Ngad’a (nxg),nxg,Ngad’a,Indonesia,Indonesia,60000
Ngaju (nij),nij,Ngaju,Indonesia,Indonesia,890000
Ngalum (szb),szb,Ngalum,Indonesia,Indonesia,10000
Ngapak Javanese (map_bms),map_bms,Ngapak Javanese,Indonesia,Indonesia,-
Nggem (nbq),nbq,Nggem,Indonesia,Indonesia,4400
Ngkâlmpw Kanum (kcd),kcd,Ngkâlmpw Kanum,Indonesia,Indonesia,150
Nias (nia),nia,Nias,Indonesia,Indonesia,770000
Nila (nil),nil,Nila,Indonesia,Indonesia,0
Nimboran (nir),nir,Nimboran,Indonesia,Indonesia,2000
Ninggerum (nxr),nxr,Ninggerum,Indonesia,Indonesia,5150
Ninia Yali (nlk),nlk,Ninia Yali,Indonesia,Indonesia,10500
Nipsan (nps),nps,Nipsan,Indonesia,Indonesia,2500
Nisa (njs),njs,Nisa,Indonesia,Indonesia,500
North Asmat (nks),nks,North Asmat,Indonesia,Indonesia,1000
North Awyu (yir),yir,North Awyu,Indonesia,Indonesia,1500
North Babar (bcd),bcd,North Babar,Indonesia,Indonesia,1000
North Moluccan Malay (max),max,North Moluccan Malay,Indonesia,Indonesia,1000000
North Muyu (kti),kti,North Muyu,Indonesia,Indonesia,8000
North Nuaulu (nni),nni,North Nuaulu,Indonesia,Indonesia,500
Nusa Laut (nul),nul,Nusa Laut,Indonesia,Indonesia,10
Obokuitai (afz),afz,Obokuitai,Indonesia,Indonesia,120
Oirata (oia),oia,Oirata,Indonesia,Indonesia,1220
Okolod (kqv),kqv,Okolod,"Indonesia, Malaysia",Indonesia,3390
Onin (oni),oni,Onin,Indonesia,Indonesia,500
Onin Based Pidgin (onx),onx,Onin Based Pidgin,Indonesia,Indonesia,0
Ormu (orz),orz,Ormu,Indonesia,Indonesia,500
Orya (ury),ury,Orya,Indonesia,Indonesia,1600
Osing (osi),osi,Osing,Indonesia,Indonesia,300000
Ot Danum (otd),otd,Ot Danum,Indonesia,Indonesia,78800
Padoe (pdo),pdo,Padoe,Indonesia,Indonesia,5000
Pagu (pgu),pgu,Pagu,Indonesia,Indonesia,3310
Paku (pku),pku,Paku,Indonesia,Indonesia,3500
Palu’e (ple),ple,Palu’e,Indonesia,Indonesia,10000
Pamona (pmf),pmf,Pamona,Indonesia,Indonesia,137000
Panasuan (psn),psn,Panasuan,Indonesia,Indonesia,800
Pancana (pnp),pnp,Pancana,Indonesia,Indonesia,6000
Pannei (pnc),pnc,Pannei,Indonesia,Indonesia,9000
Papasena (pas),pas,Papasena,Indonesia,Indonesia,400
Papuan Malay (pmy),pmy,Papuan Malay,Indonesia,Indonesia,1100000
Papuma (ppm),ppm,Papuma,Indonesia,Indonesia,600
Pass Valley Yali (yac),yac,Pass Valley Yali,Indonesia,Indonesia,5000
Patani (ptn),ptn,Patani,Indonesia,Indonesia,10600
Paulohi (plh),plh,Paulohi,Indonesia,Indonesia,50
Pekal (pel),pel,Pekal,Indonesia,Indonesia,30000
Pendau (ums),ums,Pendau,Indonesia,Indonesia,4500
Perai (wet),wet,Perai,Indonesia,Indonesia,280
Peranakan Indonesian (pea),pea,Peranakan Indonesian,Indonesia,Indonesia,20000
Petjo (pey),pey,Petjo,Indonesia,Indonesia,11
Pom (pmo),pmo,Pom,Indonesia,Indonesia,2000
Ponosakan (pns),pns,Ponosakan,Indonesia,Indonesia,10
Punan Aput (pud),pud,Punan Aput,Indonesia,Indonesia,370
Punan Merah (puf),puf,Punan Merah,Indonesia,Indonesia,140
Punan Merap (puc),puc,Punan Merap,Indonesia,Indonesia,200
Punan Tubu (puj),puj,Punan Tubu,Indonesia,Indonesia,2000
Puragi (pru),pru,Puragi,Indonesia,Indonesia,700
Putoh (put),put,Putoh,Indonesia,Indonesia,6000
Rahambuu (raz),raz,Rahambuu,Indonesia,Indonesia,5000
Rajong (rjg),rjg,Rajong,Indonesia,Indonesia,6000
Rampi (lje),lje,Rampi,Indonesia,Indonesia,10000
Rara Bakati’ (lra),lra,Rara Bakati’,"Indonesia, Malaysia",Indonesia,11300
Rasawa (rac),rac,Rasawa,Indonesia,Indonesia,200
Ratahan (rth),rth,Ratahan,Indonesia,Indonesia,500
Rejang (rej),rej,Rejang,Indonesia,Indonesia,350000
Rembong (reb),reb,Rembong,Indonesia,Indonesia,5000
Reta (ret),ret,Reta,Indonesia,Indonesia,800
Riantana (ran),ran,Riantana,Indonesia,Indonesia,1100
Ribun (rir),rir,Ribun,Indonesia,Indonesia,45000
Rikou (rgu),rgu,Rikou,Indonesia,Indonesia,12000
Riung (riu),riu,Riung,Indonesia,Indonesia,14000
Roma (rmm),rmm,Roma,Indonesia,Indonesia,1700
Rongga (ror),ror,Rongga,Indonesia,Indonesia,4000
Roon (rnn),rnn,Roon,Indonesia,Indonesia,1100
Sa’ban (snv),snv,Sa’ban,"Indonesia, Malaysia",Indonesia,1110
Sahu (saj),saj,Sahu,Indonesia,Indonesia,7500
Sajau Basap (sjb),sjb,Sajau Basap,Indonesia,Indonesia,6000
Salas (sgu),sgu,Salas,Indonesia,Indonesia,50
Salawati (xmx),xmx,Salawati,Indonesia,Indonesia,600
Saleman (sau),sau,Saleman,Indonesia,Indonesia,4800
Saluan (loe),loe,Saluan,Indonesia,Indonesia,76000
Samarokena (tmj),tmj,Samarokena,Indonesia,Indonesia,400
Sanggau (scg),scg,Sanggau,Indonesia,Indonesia,45000
Sangir (sxn),sxn,Sangir,Indonesia,Indonesia,200000
Saparua (spr),spr,Saparua,Indonesia,Indonesia,10200
Saponi (spi),spi,Saponi,Indonesia,Indonesia,4
Sara Bakati’ (sre),sre,Sara Bakati’,Indonesia,Indonesia,4000
Sarudu (sdu),sdu,Sarudu,Indonesia,Indonesia,4000
Sasak (sas),sas,Sasak,Indonesia,Indonesia,2100000
Sauri (srt),srt,Sauri,Indonesia,Indonesia,100
Sause (sao),sao,Sause,Indonesia,Indonesia,250
Sawai (szw),szw,Sawai,Indonesia,Indonesia,12000
Saweru (swr),swr,Saweru,Indonesia,Indonesia,300
Sawi (saw),saw,Sawi,Indonesia,Indonesia,3500
Sawila (swt),swt,Sawila,Indonesia,Indonesia,3000
Seberuang (sbx),sbx,Seberuang,Indonesia,Indonesia,37000
Sedoa (tvw),tvw,Sedoa,Indonesia,Indonesia,900
Segai (sge),sge,Segai,Indonesia,Indonesia,2000
Seit-Kaitetu (hik),hik,Seit-Kaitetu,Indonesia,Indonesia,10200
Sekak (lce),lce,Sekak,Indonesia,Indonesia,420
Sekar (skz),skz,Sekar,Indonesia,Indonesia,450
Seko Padang (skx),skx,Seko Padang,Indonesia,Indonesia,5000
Seko Tengah (sko),sko,Seko Tengah,Indonesia,Indonesia,2500
Selaru (slu),slu,Selaru,Indonesia,Indonesia,8000
Selayar (sly),sly,Selayar,Indonesia,Indonesia,128000
Selungai Murut (slg),slg,Selungai Murut,"Indonesia, Malaysia",Indonesia,640
Seluwasan (sws),sws,Seluwasan,Indonesia,Indonesia,2840
Semandang (sdq),sdq,Semandang,Indonesia,Indonesia,100000
Sembakung Murut (sbr),sbr,Sembakung Murut,"Indonesia, Malaysia",Indonesia,3180
Semimi (etz),etz,Semimi,Indonesia,Indonesia,1000
Sempan (xse),xse,Sempan,Indonesia,Indonesia,1000
Sentani (set),set,Sentani,Indonesia,Indonesia,30000
Sepa (spb),spb,Sepa,Indonesia,Indonesia,2600
Serili (sve),sve,Serili,Indonesia,Indonesia,330
Serua (srw),srw,Serua,Indonesia,Indonesia,0
Serui-Laut (seu),seu,Serui-Laut,Indonesia,Indonesia,1200
Siang (sya),sya,Siang,Indonesia,Indonesia,60000
Sika (ski),ski,Sika,Indonesia,Indonesia,175000
Sikaritai (tty),tty,Sikaritai,Indonesia,Indonesia,2000
Sikule (skh),skh,Sikule,Indonesia,Indonesia,19800
Silimo (wul),wul,Silimo,Indonesia,Indonesia,5000
Simeulue (smr),smr,Simeulue,Indonesia,Indonesia,40300
Skou (skv),skv,Skou,Indonesia,Indonesia,700
Smärky Kanum (kxq),kxq,Smärky Kanum,Indonesia,Indonesia,80
So’a (ssq),ssq,So’a,Indonesia,Indonesia,10000
Sobei (sob),sob,Sobei,Indonesia,Indonesia,1000
Sota Kanum (krz),krz,Sota Kanum,Indonesia,Indonesia,100
Sou Nama (tlt),tlt,Sou Nama,Indonesia,Indonesia,17000
Sou Upaa (wha),wha,Sou Upaa,Indonesia,Indonesia,7000
Sougb (mnx),mnx,Sougb,Indonesia,Indonesia,12000
South Awyu (aws),aws,South Awyu,Indonesia,Indonesia,9340
South Lembata (lmf),lmf,South Lembata,Indonesia,Indonesia,7000
South Muyu (kts),kts,South Muyu,Indonesia,Indonesia,4000
South Nuaulu (nxl),nxl,South Nuaulu,Indonesia,Indonesia,1500
Southeast Babar (vbb),vbb,Southeast Babar,Indonesia,Indonesia,4460
Southern Tidung (itd),itd,Southern Tidung,"Indonesia, Malaysia",Indonesia,27000
Sowanda (sow),sow,Sowanda,Indonesia,Indonesia,970
Sowari (dmy),dmy,Sowari,Indonesia,Indonesia,1300
Suabo (szp),szp,Suabo,Indonesia,Indonesia,1100
Sula (szn),szn,Sula,Indonesia,Indonesia,20000
Sumbawa (smw),smw,Sumbawa,Indonesia,Indonesia,300000
Sunda (sun),sun,Sunda,Indonesia,Indonesia,34000000
Sunum (ymn),ymn,Sunum,Indonesia,Indonesia,560
Suwawa (swu),swu,Suwawa,Indonesia,Indonesia,5000
Tabaru (tby),tby,Tabaru,Indonesia,Indonesia,15000
Tabla (tnm),tnm,Tabla,Indonesia,Indonesia,3750
Tado (klw),klw,Tado,Indonesia,Indonesia,2400
Tae’ (rob),rob,Tae’,Indonesia,Indonesia,340000
Tagal Murut (mvv),mvv,Tagal Murut,"Indonesia, Malaysia",Indonesia,20000
Taikat (aos),aos,Taikat,Indonesia,Indonesia,500
Taje (pee),pee,Taje,Indonesia,Indonesia,350
Tajio (tdj),tdj,Tajio,Indonesia,Indonesia,12000
Talaud (tld),tld,Talaud,Indonesia,Indonesia,82000
Taliabu (tlv),tlv,Taliabu,Indonesia,Indonesia,4520
Taloki (tlk),tlk,Taloki,Indonesia,Indonesia,550
Talondo’ (tln),tln,Talondo’,Indonesia,Indonesia,1200
Tamagario (tcg),tcg,Tamagario,Indonesia,Indonesia,3500
Taman (tmn),tmn,Taman,Indonesia,Indonesia,30000
Tambora (xxt),xxt,Tambora,Indonesia,Indonesia,0
Tamnim Citak (tml),tml,Tamnim Citak,Indonesia,Indonesia,290
Tanahmerah (tcm),tcm,Tanahmerah,Indonesia,Indonesia,500
Tandia (tni),tni,Tandia,Indonesia,Indonesia,2
Tangko (tkx),tkx,Tangko,Indonesia,Indonesia,100
Tarpia (tpf),tpf,Tarpia,Indonesia,Indonesia,630
Tause (tad),tad,Tause,Indonesia,Indonesia,300
Tawoyan (twy),twy,Tawoyan,Indonesia,Indonesia,20000
Te’un (tve),tve,Te’un,Indonesia,Indonesia,1200
Tebi (dmu),dmu,Tebi,Indonesia,Indonesia,220
Tefaro (tfo),tfo,Tefaro,Indonesia,Indonesia,100
Tehit (kps),kps,Tehit,Indonesia,Indonesia,10000
Teiwa (twe),twe,Teiwa,Indonesia,Indonesia,4000
Tela-Masbuar (tvm),tvm,Tela-Masbuar,Indonesia,Indonesia,1050
Tenggarong Kutai Malay (vkt),vkt,Tenggarong Kutai Malay,Indonesia,Indonesia,210000
Tengger (tes),tes,Tengger,Indonesia,Indonesia,80000
Teor (tev),tev,Teor,Indonesia,Indonesia,1100
Tereweng (twg),twg,Tereweng,Indonesia,Indonesia,800
Termanu (twu),twu,Termanu,Indonesia,Indonesia,30000
Ternate (tft),tft,Ternate,Indonesia,Indonesia,62000
Ternateño (tmg),tmg,Ternateño,Indonesia,Indonesia,3000
Tidore (tvo),tvo,Tidore,Indonesia,Indonesia,46000
Tii (txq),txq,Tii,Indonesia,Indonesia,20000
Tobati (tti),tti,Tobati,Indonesia,Indonesia,100
Tobelo (tlb),tlb,Tobelo,Indonesia,Indonesia,27700
Tofanma (tlg),tlg,Tofanma,Indonesia,Indonesia,250
Tolaki (lbw),lbw,Tolaki,Indonesia,Indonesia,331000
Tomadino (tdi),tdi,Tomadino,Indonesia,Indonesia,600
Tombelala (ttp),ttp,Tombelala,Indonesia,Indonesia,1100
Tombulu (tom),tom,Tombulu,Indonesia,Indonesia,60000
Tomini (txm),txm,Tomini,Indonesia,Indonesia,30000
Tondano (tdn),tdn,Tondano,Indonesia,Indonesia,92000
Tonsawang (tnw),tnw,Tonsawang,Indonesia,Indonesia,20000
Tonsea (txs),txs,Tonsea,Indonesia,Indonesia,90000
Tontemboan (tnt),tnt,Tontemboan,Indonesia,Indonesia,150000
Topoiyo (toy),toy,Topoiyo,Indonesia,Indonesia,450
Toraja-Sa’dan (sda),sda,Toraja-Sa’dan,Indonesia,Indonesia,750000
Totoli (txe),txe,Totoli,Indonesia,Indonesia,25000
Towei (ttn),ttn,Towei,Indonesia,Indonesia,120
Trimuris (tip),tip,Trimuris,Indonesia,Indonesia,300
Tsaukambo (kvz),kvz,Tsaukambo,Indonesia,Indonesia,780
Tugun (tzn),tzn,Tugun,Indonesia,Indonesia,1200
Tugutil (tuj),tuj,Tugutil,Indonesia,Indonesia,2590
Tukang Besi North (khc),khc,Tukang Besi North,Indonesia,Indonesia,120000
Tukang Besi South (bhq),bhq,Tukang Besi South,Indonesia,Indonesia,130000
Tulehu (tlu),tlu,Tulehu,Indonesia,Indonesia,18800
Tunggare (trt),trt,Tunggare,Indonesia,Indonesia,500
Tunjung (tjg),tjg,Tunjung,Indonesia,Indonesia,50000
Uab Meto (aoz),aoz,Uab Meto,Indonesia,Indonesia,700000
Ujir (udj),udj,Ujir,Indonesia,Indonesia,1030
Ulumanda’ (ulm),ulm,Ulumanda’,Indonesia,Indonesia,30000
Uma (ppk),ppk,Uma,Indonesia,Indonesia,20000
Uma’ Lasan (xky),xky,Uma’ Lasan,"Indonesia, Malaysia",Indonesia,1250
Uma’ Lung (ulu),ulu,Uma’ Lung,Indonesia,Indonesia,3000
Una (mtg),mtg,Una,Indonesia,Indonesia,5600
Unde Kaili (unz),unz,Unde Kaili,Indonesia,Indonesia,25000
Upper Grand Valley Dani (dna),dna,Upper Grand Valley Dani,Indonesia,Indonesia,20000
Uruangnirin (urn),urn,Uruangnirin,Indonesia,Indonesia,400
Usku (ulf),ulf,Usku,Indonesia,Indonesia,110
Viid (snu),snu,Viid,Indonesia,Indonesia,250
Vitou (vto),vto,Vitou,Indonesia,Indonesia,630
Wabo (wbb),wbb,Wabo,Indonesia,Indonesia,1500
Wae Rana (wrx),wrx,Wae Rana,Indonesia,Indonesia,3000
Wahau Kayan (whu),whu,Wahau Kayan,Indonesia,Indonesia,500
Wahau Kenyah (whk),whk,Wahau Kenyah,Indonesia,Indonesia,8000
Waioli (wli),wli,Waioli,Indonesia,Indonesia,3000
Walak (wlw),wlw,Walak,Indonesia,Indonesia,20000
Wambon (wms),wms,Wambon,Indonesia,Indonesia,3000
Wamesa (wad),wad,Wamesa,Indonesia,Indonesia,5000
Wanggom (wng),wng,Wanggom,Indonesia,Indonesia,1180
Wano (wno),wno,Wano,Indonesia,Indonesia,1000
Wanukaka (wnk),wnk,Wanukaka,Indonesia,Indonesia,10000
Warembori (wsa),wsa,Warembori,Indonesia,Indonesia,620
Wares (wai),wai,Wares,Indonesia,Indonesia,200
Waris (wrs),wrs,Waris,Indonesia,Indonesia,2500
Waritai (wbe),wbe,Waritai,Indonesia,Indonesia,150
Warkay-Bipim (bgv),bgv,Warkay-Bipim,Indonesia,Indonesia,300
Waropen (wrp),wrp,Waropen,Indonesia,Indonesia,6000
Waru (wru),wru,Waru,Indonesia,Indonesia,350
Watubela (wah),wah,Watubela,Indonesia,Indonesia,4000
Wauyai (wuy),wuy,Wauyai,Indonesia,Indonesia,300
Wawonii (wow),wow,Wawonii,Indonesia,Indonesia,30000
Wejewa (wew),wew,Wejewa,Indonesia,Indonesia,55000
Wemale (weo),weo,Wemale,Indonesia,Indonesia,6000
Wersing (kvw),kvw,Wersing,Indonesia,Indonesia,3700
West Damar (drn),drn,West Damar,Indonesia,Indonesia,800
West Lembata (lmj),lmj,West Lembata,Indonesia,Indonesia,8000
West Makian (mqs),mqs,West Makian,Indonesia,Indonesia,12000
West Masela (mss),mss,West Masela,Indonesia,Indonesia,850
West Tarangan (txn),txn,West Tarangan,Indonesia,Indonesia,7910
Western Dani (dnw),dnw,Western Dani,Indonesia,Indonesia,180000
Western Pantar (lev),lev,Western Pantar,Indonesia,Indonesia,10804
Woi (wbw),wbw,Woi,Indonesia,Indonesia,1800
Wolani (wod),wod,Wolani,Indonesia,Indonesia,5000
Wolio (wlo),wlo,Wolio,Indonesia,Indonesia,65000
Woria (wor),wor,Woria,Indonesia,Indonesia,5
Wotu (wtw),wtw,Wotu,Indonesia,Indonesia,500
Yahadian (ner),ner,Yahadian,Indonesia,Indonesia,500
Yalahatan (jal),jal,Yalahatan,Indonesia,Indonesia,1700
Yamdena (jmd),jmd,Yamdena,Indonesia,Indonesia,25000
Yaosakor Asmat (asy),asy,Yaosakor Asmat,Indonesia,Indonesia,2000
Yaqay (jaq),jaq,Yaqay,Indonesia,Indonesia,10000
Yarsun (yrs),yrs,Yarsun,Indonesia,Indonesia,200
Yaur (jau),jau,Yaur,Indonesia,Indonesia,350
Yawa (yva),yva,Yawa,Indonesia,Indonesia,10000
Yei (jei),jei,Yei,Indonesia,Indonesia,2390
Yelmek (jel),jel,Yelmek,Indonesia,Indonesia,400
Yeresiam (ire),ire,Yeresiam,Indonesia,Indonesia,70
Yeretuar (gop),gop,Yeretuar,Indonesia,Indonesia,350
Yetfa (yet),yet,Yetfa,Indonesia,Indonesia,1400
Yoke (yki),yki,Yoke,Indonesia,Indonesia,200
Zorop (wfg),wfg,Zorop,Indonesia,Laos,230
Akha (ahk),ahk,Akha,"Laos, Myanmar, Thailand",Laos,200000
Alak (alk),alk,Alak,Laos,Laos,4000
Arem (aem),aem,Arem,"Laos, Vietnam",Laos,20
Bit (bgk),bgk,Bit,Laos,Laos,1960
Bo (bgl),bgl,Bo,Laos,Laos,2950
Chepya (ycp),ycp,Chepya,Laos,Laos,2000
Chut (scb),scb,Chut,"Laos, Vietnam",Laos,1050
Con (cno),cno,Con,Laos,Laos,1000
Eastern Bru (bru),bru,Eastern Bru,"Laos, Vietnam",Laos,26700
Halang Doan (hld),hld,Halang Doan,"Laos, Vietnam",Laos,2000
Hani (hni),hni,Hani,"Laos, Vietnam",Laos,740000
Hmong Njua (hnj),hnj,Hmong Njua,"Laos, Thailand, Vietnam",Laos,100000
Hung (hnu),hnu,Hung,"Laos, Vietnam",Laos,2000
Ir (irr),irr,Ir,Laos,Laos,4420
Iu Mien (ium),ium,Iu Mien,"Laos, Vietnam",Laos,383000
Jeh (jeh),jeh,Jeh,"Laos, Vietnam",Laos,15200
Kaduo (ktp),ktp,Kaduo,Laos,Laos,180000
Kang (kyp),kyp,Kang,Laos,Laos,47600
Khmu (kjg),kjg,Khmu,"Laos, Thailand, Vietnam",Laos,708000
Khua (xhv),xhv,Khua,"Laos, Vietnam",Laos,3000
Khuen (khf),khf,Khuen,Laos,Laos,8000
Kiorr (xko),xko,Kiorr,Laos,Laos,2360
Kriang (ngt),ngt,Kriang,Laos,Laos,12900
Kuan (uan),uan,Kuan,Laos,Laos,2500
Lahu (lhu),lhu,Lahu,"Laos, Myanmar",Laos,280000
Laopang (lbg),lbg,Laopang,Laos,Laos,9550
Laos Sign Language (lso),lso,Laos Sign Language,Laos,Laos,36000
Laven (lbo),lbo,Laven,Laos,Laos,28100
Lavi (lvi),lvi,Lavi,Laos,Laos,500
Lower Ta’oih (tto),tto,Lower Ta’oih,Laos,Laos,15800
Lü (khb),khb,Lü,"Laos, Myanmar",Laos,280000
Mal (mlf),mlf,Mal,"Laos, Thailand",Laos,23200
Maleng (pkt),pkt,Maleng,"Laos, Vietnam",Laos,500
Mlabri (mra),mra,Mlabri,"Laos, Thailand",Laos,130
Ngoaun (nuo),nuo,Ngoaun,"Laos, Vietnam",Laos,1000
Northern Katang (ncq),ncq,Northern Katang,Laos,Laos,65000
Northern Thai (nod),nod,Northern Thai,"Laos, Thailand",Thailand,6000000
Nyaheun (nev),nev,Nyaheun,Laos,Laos,3960
O’du (tyh),tyh,O’du,"Laos, Vietnam",Laos,300
Ong (oog),oog,Ong,Laos,Laos,10300
Oy (oyb),oyb,Oy,Laos,Laos,23500
Pacoh (pac),pac,Pacoh,"Laos, Vietnam",Laos,16000
Phana’ (phq),phq,Phana’,Laos,Laos,350
Phong-Kniang (pnx),pnx,Phong-Kniang,Laos,Laos,1000
Phu Thai (pht),pht,Phu Thai,"Laos, Thailand, Vietnam",Thailand,470000
Phuan (phu),phu,Phuan,"Laos, Thailand",Laos,200000
Phunoi (pho),pho,Phunoi,Laos,Laos,35600
Prai (prt),prt,Prai,"Laos, Thailand",Laos,20000
Rmeet (lbn),lbn,Rmeet,Laos,Laos,22300
Saek (skb),skb,Saek,"Laos, Thailand",Laos,3730
Salang (hal),hal,Salang,"Laos, Vietnam",Laos,13500
Sapuan (spu),spu,Sapuan,Laos,Laos,2400
Sila (slt),slt,Sila,"Laos, Vietnam",Laos,1770
So (sss),sss,So,"Laos, Thailand",Laos,118000
Sou (sqq),sqq,Sou,Laos,Laos,2360
Southern Katang (sct),sct,Southern Katang,Laos,Laos,40000
Tai Daeng (tyr),tyr,Tai Daeng,"Laos, Vietnam",Vietnam,80000
Tai Dam (blt),blt,Tai Dam,"Laos, Vietnam",Vietnam,699000
Tai Dón (twh),twh,Tai Dón,"Laos, Vietnam",Laos,280000
Tai Khang (tnu),tnu,Tai Khang,Laos,Laos,200
Tai Loi (tlq),tlq,Tai Loi,"Laos, Myanmar",Laos,4460
Tai Long (thi),thi,Tai Long,Laos,Laos,4800
Tai Pao (tpo),tpo,Tai Pao,"Laos, Vietnam",Laos,3300
Tai Yo (tyj),tyj,Tai Yo,"Laos, Vietnam",Laos,300
Talieng (tdf),tdf,Talieng,Laos,Laos,29100
Tareng (tgr),tgr,Tareng,Laos,Laos,5000
