index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,lr_sum_ind_seacrowd_t2t,0.019792440655664916,0.01871677007294365,14.514559112912757,3.4111787795285684,0.8154652882498374,0.02175054206253187,0.6533074169385776,0.6511592138503071,0.019792440655664916,0.01871677007294365,14.514559112912757,3.4111787795285684,0.8083878275696706,0.022052457346574995,0.6498440930314227,0.6569786419515511,0
1,lr_sum_vie_seacrowd_t2t,0.0,0.0033586952860815583,7.656082184158791,1.369286831671521,2.278895513738193,0.14460067761424908,1.8922698385434533,1.8932664372841004,0.0,0.002895881884518741,7.61343308088864,1.3003439734834672,1.5357102454828857,0.007256652638341237,1.4153873096084992,1.415668358978037,0
2,lr_sum_lao_seacrowd_t2t,0.0,0.0027158334547807642,0.690752855706042,2.2252777416803604,0.08853909928590574,0.0030474260215469836,0.07863692757081663,0.07862925163229514,0.0,0.002715799011156003,0.6212956233618991,2.2151709037145797,0.08915979225403205,0.0031104228830433436,0.07789641197865516,0.07845248501694788,0
3,lr_sum_tha_seacrowd_t2t,0.0,0.006646480448606324,4.90728423599159,0.8470583943091933,0.5475711584531079,0.013102070358262307,0.4765872230935593,0.4799725406157177,0.0,0.006643754131388304,1.5698253673694322,0.8403649714110759,0.5159097269010882,0.012958096684876868,0.44599268660791,0.4541549572440217,0
4,lr_sum_khm_seacrowd_t2t,0.0,0.003335519958812257,0.34302038864579404,0.07367022872376706,0.04659937084009732,0.006591895735043459,0.03914900525454996,0.038768904299736354,0.0,0.003335519958812257,0.34316988095722367,0.07367022872376706,0.04624791517463198,0.006623841289595925,0.03906401673485053,0.03945269914720001,0
5,lr_sum_mya_seacrowd_t2t,0.0,0.0023958827622743203,0.3899515690287645,0.09999026776683104,0.02785735445261999,0.0022446689113355778,0.024064212362692766,0.024644260644484148,0.0,0.0024048712342411883,0.1788827096602185,0.10224287220157474,0.027113814605870215,0.0022446689113355778,0.0249415708275619,0.02463512466903111,0
6,xl_sum_mya_seacrowd_t2t,0.10544674167548677,0.0018933887308798302,1.5765389414407898,0.10162020784368862,0.019177097710413867,0.0,0.019523156178176262,0.018621004355596674,0.0,0.0018260974480496096,0.1278836517480285,0.07831404190408744,0.01931278799126287,0.0,0.018690779875590764,0.018855365040767253,0
7,xl_sum_ind_seacrowd_t2t,0.0,0.0073010570387346254,16.039589340926074,3.5332183567532662,0.6216995864277352,0.017570509101294395,0.513328738465494,0.5141366610829371,0.0,0.0073010570387346254,16.039748370909113,3.533227096489017,0.6211346370568045,0.01738611120727601,0.5145165188891185,0.5146039750401198,0
8,xl_sum_tha_seacrowd_t2t,0.16401328023279133,0.01186373649051207,5.200625784213353,1.1288795130686742,0.530258396546605,0.0,0.5251928312715131,0.5327206705318863,0.0,0.0055312816466302666,0.32160674789487975,1.1494384106735198,0.2855568593095176,0.0,0.26910892312107754,0.26940477292566434,0
9,xl_sum_vie_seacrowd_t2t,0.0,0.006167698095589739,8.394536487848587,2.412376557975258,3.540041464772202,0.3492071134461184,2.667032722981326,2.6662754163208393,0.0,0.0034958366801945136,8.296507936533574,2.2584935156756996,1.641534997592229,0.007685817293327141,1.5046174670250396,1.5034855754597434,0
