index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,liputan6_canonical_seacrowd_t2t,0.0,0.44050751535373334,18.80467405572647,6.519833442910366,2.1739130434782608,1.1111111111111112,2.1739130434782608,2.1739130434782608,0.0,0.44050751535373334,18.80467405572647,6.519833442910366,2.1739130434782608,1.1111111111111112,2.1739130434782608,2.1739130434782608,0
1,liputan6_canonical_seacrowd_t2t,0.0,0.4045390243069855,20.252602876270036,6.438050190513731,3.260869565217392,1.1111111111111112,3.260869565217392,3.260869565217392,0.0,0.4045390243069855,20.252602876270036,6.438050190513731,3.260869565217392,1.1111111111111112,3.260869565217392,3.260869565217392,1
2,liputan6_canonical_seacrowd_t2t,0.0,0.7891929285849835,21.71662167095979,9.825965716405257,5.399719495091163,2.21001221001221,4.324450677886863,4.324450677886863,0.0,0.7891929285849835,21.71662167095979,9.825965716405257,5.399719495091163,2.21001221001221,4.324450677886863,4.324450677886863,2
3,thai_sum_seacrowd_t2t,0.0,0.3367766017640433,0.7036805953897078,1.329787234042553,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,0.0,0.3367766017640433,0.7036805953897078,1.329787234042553,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,0
4,thai_sum_seacrowd_t2t,0.0,0.3572608024883786,0.43831514285149736,2.6766137987983716,1.1764705882352944,0.0,1.1764705882352944,1.1764705882352944,0.0,0.3572608024883786,0.43831514285149736,2.6766137987983716,1.1764705882352944,0.0,1.1764705882352944,1.1764705882352944,1
5,thai_sum_seacrowd_t2t,0.0,0.3437231918547519,0.4626104267424068,2.551286056440696,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,0.0,0.3437231918547519,0.4626104267424068,2.551286056440696,1.2658227848101267,0.0,1.2658227848101267,1.2658227848101267,2
6,seahorse_seacrowd_t2t,0.0,4.620543291073948,25.23218038777474,21.51948051948052,62.96296296296296,28.30188679245283,37.03703703703704,40.74074074074075,0.0,1.121617874316939,14.757428089685131,3.896103896103895,0.0,0.0,0.0,0.0,0
7,seahorse_seacrowd_t2t,0.0,1.5266393715681288,13.722931508503253,10.249732905982905,15.873015873015872,8.064516129032258,14.285714285714285,14.285714285714285,0.0,0.5799975368190927,9.598432790590532,2.403846153846154,3.2520325203252027,0.0,3.2520325203252027,3.2520325203252027,1
8,seahorse_seacrowd_t2t,0.0,0.9884133258387924,15.732599067130772,7.5566750629722925,47.05882352941176,10.256410256410257,30.252100840336137,30.252100840336137,0.0,0.7860561859628806,11.963877969338556,2.5188916876574305,0.0,0.0,0.0,0.0,2
9,lr_sum_ind_seacrowd_t2t,0.0,0.4877178495671594,23.180977400803933,3.8022813688212933,2.2222222222222223,0.0,2.2222222222222223,2.2222222222222223,0.0,0.4877178495671594,23.180977400803933,3.8022813688212933,2.2222222222222223,0.0,2.2222222222222223,2.2222222222222223,0
10,lr_sum_ind_seacrowd_t2t,0.0,0.6323423276314544,23.949652854176982,5.836575875486381,4.878048780487805,0.0,2.4390243902439024,2.4390243902439024,0.0,0.6323423276314544,23.949652854176982,5.836575875486381,4.878048780487805,0.0,2.4390243902439024,2.4390243902439024,1
11,lr_sum_ind_seacrowd_t2t,0.0,0.622971702540524,21.691909280360637,3.8759689922480627,4.651162790697675,0.0,4.651162790697675,4.651162790697675,0.0,0.622971702540524,21.691909280360637,3.8759689922480627,4.651162790697675,0.0,4.651162790697675,4.651162790697675,2
12,lr_sum_vie_seacrowd_t2t,0.0,0.47462176237300036,4.785003163860766,1.7482517482517481,1.9230769230769231,0.0,1.9230769230769231,1.9230769230769231,0.0,0.47462176237300036,4.785003163860766,1.7482517482517481,1.9230769230769231,0.0,1.9230769230769231,1.9230769230769231,0
13,lr_sum_vie_seacrowd_t2t,0.0,0.4504321747452186,6.158446376460278,1.7605633802816905,3.9215686274509802,0.0,1.9607843137254901,1.9607843137254901,0.0,0.4504321747452186,6.158446376460278,1.7605633802816905,3.9215686274509802,0.0,1.9607843137254901,1.9607843137254901,1
14,lr_sum_vie_seacrowd_t2t,0.0,0.4562454050880755,5.497070149836007,1.7482517482517481,0.0,0.0,0.0,0.0,0.0,0.4562454050880755,5.497070149836007,1.7482517482517481,0.0,0.0,0.0,0.0,2
15,lr_sum_lao_seacrowd_t2t,0.0,0.5162051047489141,3.2551954901573166,2.5510204081632653,0.0,0.0,0.0,0.0,0.0,0.4184430101881885,3.2551954901573166,2.3584905660377355,0.0,0.0,0.0,0.0,0
16,lr_sum_lao_seacrowd_t2t,0.0,0.39952724108597504,3.597261305962371,2.3041474654377883,0.0,0.0,0.0,0.0,0.0,0.39952724108597504,3.597261305962371,2.3041474654377883,0.0,0.0,0.0,0.0,1
17,lr_sum_lao_seacrowd_t2t,0.0,0.3864259978779946,3.3198505362965194,2.2727272727272725,0.0,0.0,0.0,0.0,0.0,0.3864259978779946,3.3198505362965194,2.2727272727272725,0.0,0.0,0.0,0.0,2
18,lr_sum_tha_seacrowd_t2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,lr_sum_tha_seacrowd_t2t,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
