index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,lr_sum_ind_seacrowd_t2t,0.49037520725944955,0.49852175852661496,21.580783344728683,5.221496657057173,1.4791575219954767,4.5208716235637665,4.518822568673383,0.49004638451001414,0.4999699319572631,21.581551772951673,5.228769803198677,1.4866095631851777,4.508312613879942,4.518395263122869,0
1,lr_sum_vie_seacrowd_t2t,0.2801133017669412,0.2825980076737702,11.502952643945614,4.477144537770998,0.8331630211614464,3.880007088085946,3.8688012439045405,0.22035001262921197,0.22560567887679422,11.374859416140227,3.8077557300770213,0.5872254293963639,3.36579076264225,3.3657467949485995,0
2,lr_sum_lao_seacrowd_t2t,0.05137355448988185,0.036640621879809855,1.1073161331341335,0.7356341971915178,0.16572103145928418,0.6930888416933543,0.6935635848526449,0.036358610506487254,0.03595223859289148,1.0487485942234687,0.7327733652596278,0.16814297816441479,0.6976410779072862,0.693228012564627,0
3,lr_sum_tha_seacrowd_t2t,0.20383461356784216,0.1893420838804992,2.8380569360249916,2.1319908028291463,0.5582441347313927,1.771757116580935,1.7842955419052626,0.1902489899257026,0.1891715820561973,2.8189627765801797,2.1464018198568886,0.5530267878968401,1.7734013381789056,1.7773517431491332,0
4,lr_sum_khm_seacrowd_t2t,0.0,0.011708668887246643,0.5717704957182228,0.34181866693139934,0.0545666947175151,0.31557295380910627,0.3136433423386613,0.0,0.01198696638319288,0.5355968001240022,0.3448844803647582,0.05862483576227577,0.3195429554023281,0.3227075647493495,0
5,lr_sum_mya_seacrowd_t2t,0.03762537492663544,0.03366259624454441,0.5272728681107052,0.43735280747407634,0.1383745849977332,0.4117869743283414,0.41269941243457614,0.035984740116285295,0.033617994256165754,0.46356817780595533,0.44196369976470096,0.1399158398294497,0.4135854546544648,0.41315931559728286,0
6,xl_sum_mya_seacrowd_t2t,0.05129796642635128,0.0304410809184758,0.3331657105665117,0.3102959045875905,0.07252344593318702,0.30566674801282306,0.30552594995605015,0.029895655355468512,0.03042993317012388,0.24883906646400283,0.31029377409164444,0.07161870274032432,0.3005100403844402,0.30166967779174875,0
7,xl_sum_ind_seacrowd_t2t,0.4688502994500272,0.4654365038803205,21.694182392494593,4.2695714814022425,1.1960817984686007,3.7435149956701315,3.7442494631815966,0.46875585662427566,0.46533397369086343,21.695498266770205,4.270511612534134,1.197419856218963,3.7447667967938227,3.7447208449750606,0
8,xl_sum_tha_seacrowd_t2t,0.07562047810961749,0.08258616770318106,0.624539880312873,0.8600500001778345,0.16130727462857034,0.8172985129942266,0.8154462109138866,0.06875368986933918,0.0776356359330195,0.6038354936786066,0.8557862643127325,0.16384510057399665,0.8189788616659638,0.8181008916593766,0
9,xl_sum_vie_seacrowd_t2t,0.3621957186704359,0.33444782433140524,12.161239865997537,4.995686264346612,0.9718451682528815,4.124129477528951,4.126943051028041,0.21305801525695195,0.20943778684781186,11.918147647786219,3.838971102525649,0.5041292917443279,3.306900479126731,3.3105378042462155,0
10,lio_and_central_flores_eng_ljl_seacrowd_t2t,0.017989082294052904,0.008495273095167094,6.429870260475931,1.198827389947727,0.03711477619649193,1.1321183280715192,1.1494755291139949,0.018072434176124655,0.008681699814368995,6.435747167383454,1.1191090814816733,0.034280227851075026,1.0577557747897839,1.0720173253673149,0
11,lio_and_central_flores_ljl_eng_seacrowd_t2t,0.0854733122786645,0.08376327188148013,9.522010920864002,5.971015038592477,0.5813744396809838,5.194833261312932,5.329636554322062,0.0849359580078887,0.0836641018910908,9.521114413489189,5.9651802446944755,0.5813093873129803,5.20133946345373,5.331538555822583,0
12,flores200_eng_Latn_ace_Latn_seacrowd_t2t,1.369762892346837,1.4454618906273613,25.183813760869654,7.983140675519644,1.9601104519048698,7.559257430416711,7.647316379034437,1.343095318776744,1.4277496667960807,25.195860026706868,7.8137637572451775,1.8821725756153693,7.4329229476292555,7.523989291496661,0
13,flores200_eng_Latn_ban_Latn_seacrowd_t2t,1.5786602754409933,1.6433464093372843,26.901347987168982,9.390291632245571,2.499149392614084,8.934231452464035,8.973593755633992,1.6646327191958983,1.7320310960757626,27.240801918485246,9.91918996066586,2.721386407149234,9.46986946539189,9.492866996758076,0
14,flores200_eng_Latn_bjn_Latn_seacrowd_t2t,1.870270569072923,1.9658385087329207,29.10878987671654,10.609407106826007,3.0371051665468025,10.283601542890873,10.260122527482295,1.8595791107243698,1.9634819725971528,29.109937097533034,10.600011885099121,3.00308692079016,10.244975015411002,10.280384076510773,0
15,flores200_eng_Latn_bug_Latn_seacrowd_t2t,0.8345541029435805,0.9068058862586024,21.72216606078435,5.602794569879602,1.200433178424326,5.203038182244491,5.306212218356618,0.8444671579295129,0.9291010051056338,21.790800478327903,5.582560794653876,1.1781973079892083,5.1712805759390745,5.280298378717046,0
16,flores200_eng_Latn_ceb_Latn_seacrowd_t2t,5.460599295355846,5.483196253247448,35.892101576646965,26.640533103325126,9.960632769494435,23.576790912081695,23.663199978951223,5.398169433332984,5.432921629878534,35.849726403557085,26.55537851384333,9.863737031450837,23.48594618449148,23.57340173919485,0
17,flores200_eng_Latn_ilo_Latn_seacrowd_t2t,3.20709262684233,3.2582919756436306,31.38179756852637,22.570854709774157,5.155899378682682,18.479209231435004,19.028421528720283,3.1721364953009603,3.2500939510202023,31.36190073609494,22.51876077902444,5.087578160197237,18.43121665127012,18.967312208342367,0
