index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,lr_sum_ind_seacrowd_t2t,1.5523740327176783,1.5698415523159992,26.390290185254006,13.737375983023666,10.693120494074575,3.9291706767367285,8.90558405592668,8.919268673270011,1.5563473122231386,1.5768679455750356,26.39071534461187,13.742510212781134,10.705055495033974,3.9103498361070326,8.900117385371987,8.889452391900186,0
1,lr_sum_vie_seacrowd_t2t,0.5412395770790802,0.5278968849038855,12.683203184070182,5.131694844652632,12.940552260034424,3.2115508112972395,8.48089829667885,8.493882127706682,0.1575249934091256,0.15346601589208078,11.710261871917837,2.8772683432305137,3.663295898593387,0.3146985031066605,3.1455308557555828,3.151822007155699,0
2,lr_sum_lao_seacrowd_t2t,0.0,0.01880603876713187,1.2296671159667139,3.151372289644456,0.8225821973133766,0.1685737116023094,0.8130169998710899,0.8072025032805477,0.0,0.01815831835176718,0.93870657640504,3.1255275300115986,0.6926783980042196,0.15217106945261719,0.6767777323348276,0.6750716345602599,0
3,lr_sum_tha_seacrowd_t2t,0.0,0.02795997361245182,3.3205023634142847,1.9359780657880723,1.6557345875258076,0.27935735525236405,1.4066742225589302,1.423854926181789,0.0,0.027938152970382022,2.243362950725059,1.9145432816351289,1.5773248530023751,0.2521379607510114,1.3269079627462443,1.3339404144243405,0
4,lr_sum_khm_seacrowd_t2t,0.04467618750141504,0.013566558206635179,1.0512430015138565,0.3706372090746528,0.28082324078260756,0.05678660888512746,0.25666389580834575,0.25599104770249026,0.0,0.013525309607314672,0.4957476710512128,0.3709204625025141,0.27597100236127303,0.054215841416145605,0.25082380773759827,0.2499178285361314,0
5,lr_sum_mya_seacrowd_t2t,0.024096249819588335,0.017831195672565938,0.8272258040093627,0.394585029140375,0.3679160956314972,0.16511673964364257,0.3435731919003665,0.35335054688308076,0.017913593627432275,0.018242243722336446,0.3607751360420514,0.4184287392866589,0.3332358786032689,0.12537255182550774,0.31252920847911436,0.3141012168731693,0
6,xl_sum_mya_seacrowd_t2t,0.22635695892295327,0.01561964342012911,1.4794280846514556,0.255951867093679,0.445042476367183,0.11114356333276544,0.44863068593856625,0.45398131331355945,0.0,0.015424116868305296,0.20018838774518735,0.24279443707670093,0.3489640664366886,0.06205297437101656,0.33785315328943477,0.34204416728027964,0
7,xl_sum_ind_seacrowd_t2t,0.6861480732731802,0.6785450153896451,24.92178109250542,11.161562191653243,8.932271273992429,2.1434755875957214,6.884232326394077,6.906285945349733,0.6860050060251387,0.6782699768433971,24.923161807265895,11.169821625200338,8.924669407061355,2.1410890104365294,6.889498469183319,6.909739174976765,0
8,xl_sum_tha_seacrowd_t2t,0.10332846784704311,0.02846181230789558,1.2848965266990597,1.5050994244985754,0.5382014651533289,0.05021795202715903,0.5151614273337293,0.5065289936494903,0.020495747663456985,0.024908424298308085,0.3861223289670848,1.5392473984644197,0.4551431284831699,0.05149411264266177,0.4394675399834945,0.4411168149715351,0
9,xl_sum_vie_seacrowd_t2t,0.5889717909687547,0.37695856362359775,12.99941813681859,5.711047830242875,12.545240821932893,2.766167805399328,8.073327825982563,8.082787490045806,0.1401728675445681,0.13201684291723795,12.180372868653174,4.0015013548811105,3.8859937348633493,0.33859906865329414,3.2790240447793826,3.287308457086598,0
10,lio_and_central_flores_eng_ljl_seacrowd_t2t,0.15624284479711523,0.09705312966622476,9.049602118684735,0.7874008667440379,1.4710197034592298,0.13867909454218047,1.4438778722061956,1.4300718162764736,0.13720985612118802,0.09747674344168389,9.480096924147576,0.8022061574997794,1.1466098068559227,0.1139370080230978,1.122509517897995,1.1233710533267507,0
11,lio_and_central_flores_ljl_eng_seacrowd_t2t,0.29207585364191563,0.28680125880474305,13.224524266720383,6.152807224582907,7.154822863934215,0.5267337752765132,6.687062151968841,6.465738991278526,0.29186698750414986,0.28765656549185625,13.252762530345997,6.162030678745437,7.153864421498603,0.532133200502553,6.701205311222306,6.468839872744329,0
12,flores200_eng_Latn_ace_Latn_seacrowd_t2t,1.7290590770218626,1.9054120113230901,21.571519967452367,9.664825534192243,6.888151335728448,1.4034035915016876,6.67723569645498,6.650671813339945,1.7436047315397454,1.901152198611877,21.898259186913368,9.687717401549396,6.899989696823786,1.3591786730970727,6.6749338386718815,6.660481370874455,0
13,flores200_eng_Latn_ban_Latn_seacrowd_t2t,1.7104700883410273,1.8268650958198382,24.537672294591882,10.60978208560011,8.098006728572951,1.7546950588150743,7.7650519739876325,7.762777491185478,1.7289852227614457,1.8263218873035834,24.596011966564614,10.662162388712789,8.061011916091857,1.750807005323117,7.775669772996446,7.766762006389125,0
14,flores200_eng_Latn_bjn_Latn_seacrowd_t2t,1.5015758460098207,1.7240838137156516,19.409831658267894,9.213426707462025,7.066112830662721,1.489284739954048,6.74843883077882,6.70858480407705,1.4888441540504793,1.6696224082758442,20.943545247227732,9.26774375320768,7.016855417765061,1.4148834954446763,6.6698046151878785,6.666439060513898,0
15,flores200_eng_Latn_bug_Latn_seacrowd_t2t,0.8848374787867266,1.0291005528278112,15.38686977986456,6.538971946545423,4.233080945399821,0.876370234676115,4.067233326880756,4.066931883959242,0.9359446249295373,1.0408010348136059,16.11391521645414,6.615296077492913,4.102889530785216,0.8504089854448459,3.922132816517275,3.946383178154559,0
