index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,lr_sum_ind_seacrowd_t2t,3.0655148196481656,3.065514819648165,34.96719198507503,28.316825406003932,20.93166325977402,8.357816935309344,16.245168964066114,16.22512611630247,3.0655148196481656,3.065514819648165,34.96719198507503,28.31746982265096,20.90696708946234,8.34696494915599,16.209832763436953,16.20110424758013,0
1,lr_sum_vie_seacrowd_t2t,4.028562482361252,4.028562482361253,28.57775213997603,33.57654121815332,32.92032901155901,17.919278948727236,23.28980171396957,23.29796120303079,0.2087397662176259,0.20873976621762594,14.447957373522035,6.122409688722052,5.055039045090837,0.6499380103171866,4.032614520283283,4.031929494049196,0
2,lr_sum_lao_seacrowd_t2t,0.8630649245686076,0.8630649245686078,22.98851771463531,3.995990969265907,13.666420242008709,5.7253637933490085,13.652975812856033,13.58931976350779,0.29710328483714327,0.2971032848371434,1.2899060275577758,2.1822159408078505,6.349803720170563,1.8483422224228445,6.294464488838159,6.307507800431288,0
3,lr_sum_tha_seacrowd_t2t,0.9759403899285639,0.9759403899285644,29.46330054148894,2.871053699239147,7.6313725610277325,3.3651804861804866,7.336121656121657,7.352007992007992,0.7158820938835988,0.7158820938835985,1.9985638750609762,2.1353983977662394,3.6462066193180735,1.3482717693476205,3.5506789460969026,3.5485879565910525,0
4,lr_sum_khm_seacrowd_t2t,1.0435036056193707,1.0435036056193707,18.84141769845337,1.6977120607258034,5.40172447579855,1.9478737997256517,5.378765610247093,5.391970854933819,0.0,0.2548269830260051,0.5548289014864282,0.8523917157613135,2.325251451794662,0.566039246930283,2.319292390280044,2.316319654282618,0
5,lr_sum_mya_seacrowd_t2t,0.6739851657205816,0.6739851657205816,19.048376218637607,2.356497995651995,6.572573265075709,2.008674037059326,6.568001252297799,6.557478215934369,0.25219380504765887,0.2521938050476588,0.45700847872598716,0.7464587952111704,1.6501955267755115,0.4202084875691582,1.6254749756893963,1.6175955173140792,0
6,xl_sum_mya_seacrowd_t2t,0.5645727081116597,0.5645727081116599,27.76923566160535,2.6357279015695743,5.108490924280399,1.1500974658869396,5.0567707146654515,4.978487886382623,0.13415735212908036,0.13415735212908042,0.22222282856227915,0.37089636125857367,1.1212090537892339,0.25928457507404873,1.1095668139374881,1.0907890698584715,0
7,xl_sum_ind_seacrowd_t2t,2.537355756386855,2.537355756386855,35.35109625614047,26.163105240427697,21.534205943428862,7.0187896864775405,15.298948714162272,15.299379795228758,2.5351521267752357,2.535152126775235,35.348832654504875,26.157316451649308,21.534941005991353,7.013639865290234,15.301357267101437,15.296121737346219,0
8,xl_sum_tha_seacrowd_t2t,3.3521024631461267,3.3521024631461267,28.885970232482588,4.730281955833869,10.98642512988761,1.876255638362176,10.799756807626064,10.857649211160112,0.3697919378353522,0.3697919378353524,0.4133326484468754,2.136723961261373,4.226090743618791,0.4373456940755046,4.1345155130028415,4.155998748421309,0
9,xl_sum_vie_seacrowd_t2t,2.7412815861501487,2.7412815861501496,25.478031079312334,26.344752863422414,34.43823910338561,16.30680954503959,23.03140095348922,23.02967523706007,0.20280125410650657,0.20280125410650657,15.471370291780831,7.165824187853263,6.317721518095179,0.6385159460925866,4.652000648433259,4.65370274980488,0
