index,dataset,fold,wer,mer,cer
0,commonvoice_120_ind_seacrowd_sptext,test,0.33690283867989845,0.329853579175705,0.09973534810261664
1,fleurs_vie_seacrowd_sptext,test,0.9291010194624653,0.8740826854610186,0.7589260062162092
2,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,0.7236013986013986,0.6718065249147865,0.3024712159505757
3,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.6757950530035336,0.6597102449120387,0.2688323353293413
4,asr_ibsc_seacrowd_sptext,test,0.9548428130110849,0.9314012230789683,0.5174487131667288
5,fleurs_tha_seacrowd_sptext,test,0.6782319391634981,0.6294662549625055,0.13471914177402355
6,fleurs_khm_seacrowd_sptext,test,3.870554076941689,0.9974435715176456,1.043128207542728
7,fleurs_jav_seacrowd_sptext,test,0.825425494963529,0.7645090721914811,0.2683454509522472
8,fleurs_mya_seacrowd_sptext,test,2.5960987436632137,0.9998726655348048,0.968046551251137
9,commonvoice_120_vie_seacrowd_sptext,test,0.8564901349948079,0.7849257708412638,0.6757063000453241
10,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.6314236111111111,0.6103373049169324,0.23927632682735864
11,fleurs_ind_seacrowd_sptext,test,0.25767100733423143,0.2554533313548004,0.06900260929761969
12,fleurs_fil_seacrowd_sptext,test,0.28175510678708476,0.2761463359039623,0.0921726640651812
13,fleurs_lao_seacrowd_sptext,test,1.5262483994878362,0.9922308546059934,1.0099371445674947
14,commonvoice_120_cnh_seacrowd_sptext,test,1.089948037986024,0.9808126410835214,0.7968606111343658
15,commonvoice_120_tha_seacrowd_sptext,test,1.348499188750676,0.7325376423062798,0.06599399978150465
16,fleurs_ceb_seacrowd_sptext,test,0.6551545629344772,0.5866498907357128,0.25549663573376025
17,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,0.6207513416815742,0.5987920621225195,0.20993181144381856
18,fleurs_zlm_seacrowd_sptext,test,0.301061190738699,0.2946055293324343,0.08485755082613722
