,model,gini
9,aya-101,0.09472397398757473
11,SeaLLM-7B-v2.5,0.11574445354661529
5,mt0-xl,0.13097528892550456
3,Meta-Llama-3-8B-Instruct,0.13149206663180418
12,Sailor-7B-Chat,0.1453879515696954
16,LLaMa3-8b-WangchanX-sft-Demo,0.15343768511795686
0,gpt-4,0.15510322360962625
2,Mistral-7B-Instruct-v0.2,0.1591467987973522
7,bactrian-x-llama-7b-merged,0.16319025662672393
17,malaysian-llama-3-8b-instruct-16k,0.17866254142953744
8,aya-23-8B,0.18269956606519638
1,command-r,0.1840731348335405
15,Merak-7B-v4,0.1989585183750367
10,sea-lion-7b-instruct-research,0.20353973026594266
6,bloomz-7b1,0.22821714832729142
4,falcon-7b-instruct,0.26025033584700236
14,cendol-llama2-7b,0.26675342429588805
13,cendol-mt5-xl,0.37769526026243905
