,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
163,Burusu (bqr),bqr,Burusu,Indonesia,Indonesia,4350,True,<10K
164,Buruwai (asi),asi,Buruwai,Indonesia,Indonesia,1000,True,<10K
165,Busami (bsm),bsm,Busami,Indonesia,Indonesia,700,True,<1K
166,Busang Kayan (bfg),bfg,Busang Kayan,Indonesia,Indonesia,3000,False,<10K
167,Busoa (bup),bup,Busoa,Indonesia,Indonesia,2300,True,<10K
168,Casuarina Coast Asmat (asc),asc,Casuarina Coast Asmat,Indonesia,Indonesia,9000,True,<10K
169,Central Asmat (cns),cns,Central Asmat,Indonesia,Indonesia,7000,True,<10K
170,Central Awyu (awu),awu,Central Awyu,Indonesia,Indonesia,7500,True,<10K
171,Central Malay (pse),pse,Central Malay,Indonesia,Indonesia,1590000,True,<10M
172,Central Masela (mxz),mxz,Central Masela,Indonesia,Indonesia,510,True,<1K
173,Cia-Cia (cia),cia,Cia-Cia,Indonesia,Indonesia,79000,True,<100K
174,Citak (txt),txt,Citak,Indonesia,Indonesia,8000,True,<10K
175,Coastal Konjo (kjc),kjc,Coastal Konjo,Indonesia,Indonesia,125000,True,<1M
176,Col (liw),liw,Col,Indonesia,Indonesia,145000,False,<1M
177,Da’a Kaili (kzf),kzf,Da’a Kaili,Indonesia,Indonesia,55000,True,<100K
178,Dabe (dbe),dbe,Dabe,Indonesia,Indonesia,440,True,<1K
179,Dai (dij),dij,Dai,Indonesia,Indonesia,820,True,<1K
180,Dakka (dkk),dkk,Dakka,Indonesia,Indonesia,1500,False,<10K
181,Damal (uhn),uhn,Damal,Indonesia,Indonesia,14000,True,<100K
182,Dampelas (dms),dms,Dampelas,Indonesia,Indonesia,2000,True,<10K
183,Dao (daz),daz,Dao,Indonesia,Indonesia,250,False,<1K
184,Dawera-Daweloor (ddw),ddw,Dawera-Daweloor,Indonesia,Indonesia,1270,True,<10K
185,Dela-Oenale (row),row,Dela-Oenale,Indonesia,Indonesia,7000,True,<10K
186,Dem (dem),dem,Dem,Indonesia,Indonesia,1000,True,<10K
187,Demisa (dei),dei,Demisa,Indonesia,Indonesia,400,True,<1K
188,Dengka (dnk),dnk,Dengka,Indonesia,Indonesia,20000,False,<100K
189,Dhao (nfa),nfa,Dhao,Indonesia,Indonesia,5000,True,<10K
190,Diebroud (tbp),tbp,Diebroud,Indonesia,Indonesia,300,True,<1K
191,Dineor (mrx),mrx,Dineor,Indonesia,Indonesia,55,True,<100
192,Diuwe (diy),diy,Diuwe,Indonesia,Indonesia,100,True,<1K
193,Dla (kbv),kbv,Dla,Indonesia,Indonesia,1000,True,<10K
194,Dobel (kvo),kvo,Dobel,Indonesia,Indonesia,5680,True,<10K
195,Dondo (dok),dok,Dondo,Indonesia,Indonesia,13000,True,<100K
196,Doutai (tds),tds,Doutai,Indonesia,Indonesia,70,True,<100
197,Duano (dup),dup,Duano,"Indonesia, Malaysia",Indonesia,15000,False,<100K
198,Duri (mvp),mvp,Duri,Indonesia,Indonesia,127000,True,<1M
199,Duriankere (dbn),dbn,Duriankere,Indonesia,Indonesia,30,True,<100
200,Dusner (dsn),dsn,Dusner,Indonesia,Indonesia,3,True,<10
201,Dusun Deyah (dun),dun,Dusun Deyah,Indonesia,Indonesia,20000,True,<100K
202,Dusun Malang (duq),duq,Dusun Malang,Indonesia,Indonesia,4500,True,<10K
203,Dusun Witu (duw),duw,Dusun Witu,Indonesia,Indonesia,5000,True,<10K
204,Duvle (duv),duv,Duvle,Indonesia,Indonesia,930,True,<1K
205,East Damar (dmr),dmr,East Damar,Indonesia,Indonesia,2800,True,<10K
206,East Makian (mky),mky,East Makian,Indonesia,Indonesia,10000,True,<100K
207,East Masela (vme),vme,East Masela,Indonesia,Indonesia,520,True,<1K
208,East Tarangan (tre),tre,East Tarangan,Indonesia,Indonesia,6110,True,<10K
209,Eastern Ngad’a (nea),nea,Eastern Ngad’a,Indonesia,Indonesia,5000,False,<10K
210,Edera Awyu (awy),awy,Edera Awyu,Indonesia,Indonesia,3870,True,<10K
211,Edopi (dbf),dbf,Edopi,Indonesia,Indonesia,1500,True,<10K
212,Ekari (ekg),ekg,Ekari,Indonesia,Indonesia,100000,True,<1M
213,Elseng (mrf),mrf,Elseng,Indonesia,Indonesia,300,True,<1K
214,Embaloh (emb),emb,Embaloh,Indonesia,Indonesia,10000,True,<100K
215,Emem (enr),enr,Emem,Indonesia,Indonesia,2000,True,<10K
216,Emplawas (emw),emw,Emplawas,Indonesia,Indonesia,250,True,<1K
217,Ende (end),end,Ende,Indonesia,Indonesia,110000,True,<1M
218,Enggano (eno),eno,Enggano,Indonesia,Indonesia,1500,True,<10K
219,Enrekang (ptt),ptt,Enrekang,Indonesia,Indonesia,50000,True,<100K
220,Eritai (ert),ert,Eritai,Indonesia,Indonesia,530,True,<1K
221,Erokwanas (erw),erw,Erokwanas,Indonesia,Indonesia,200,True,<1K
222,Fayu (fau),fau,Fayu,Indonesia,Indonesia,1400,True,<10K
223,Fedan (pdn),pdn,Fedan,Indonesia,Indonesia,280,False,<1K
224,Foau (flh),flh,Foau,Indonesia,Indonesia,350,True,<1K
225,Fordata (frd),frd,Fordata,Indonesia,Indonesia,50000,True,<100K
226,Galela (gbi),gbi,Galela,Indonesia,Indonesia,79000,True,<100K
227,Gamkonora (gak),gak,Gamkonora,Indonesia,Indonesia,1500,False,<10K
228,Gane (gzn),gzn,Gane,Indonesia,Indonesia,2900,True,<10K
229,Gayo (gay),gay,Gayo,Indonesia,Indonesia,300000,True,<1M
230,Gebe (gei),gei,Gebe,Indonesia,Indonesia,2650,True,<10K
231,Gerai (gef),gef,Gerai,Indonesia,Indonesia,2100,False,<10K
232,Geser-Gorom (ges),ges,Geser-Gorom,Indonesia,Indonesia,36500,True,<100K
233,Gorap (goq),goq,Gorap,Indonesia,Indonesia,1000,False,<10K
234,Gorontalo (gor),gor,Gorontalo,Indonesia,Indonesia,1000000,True,<10M
235,Gresi (grs),grs,Gresi,Indonesia,Indonesia,2500,True,<10K
236,Haji (hji),hji,Haji,Indonesia,Indonesia,17500,False,<100K
237,Hamap (hmu),hmu,Hamap,Indonesia,Indonesia,900,True,<1K
238,Haruku (hrk),hrk,Haruku,Indonesia,Indonesia,18200,True,<100K
239,Hatam (had),had,Hatam,Indonesia,Indonesia,16000,True,<100K
240,Hawu (hvn),hvn,Hawu,Indonesia,Indonesia,110000,True,<1M
241,Helong (heg),heg,Helong,Indonesia,Indonesia,14000,True,<100K
242,Highland Konjo (kjk),kjk,Highland Konjo,Indonesia,Indonesia,150000,False,<1M
243,Hitu (htu),htu,Hitu,Indonesia,Indonesia,16000,True,<100K
244,Hoti (hti),hti,Hoti,Indonesia,Indonesia,10,False,<100
245,Hovongan (hov),hov,Hovongan,Indonesia,Indonesia,1000,False,<10K
246,Huaulu (hud),hud,Huaulu,Indonesia,Indonesia,300,False,<1K
247,Hukumina (huw),huw,Hukumina,Indonesia,Indonesia,1,True,<10
248,Hulung (huk),huk,Hulung,Indonesia,Indonesia,10,False,<100
249,Hupla (hap),hap,Hupla,Indonesia,Indonesia,3000,False,<10K
250,Iau (tmu),tmu,Iau,Indonesia,Indonesia,600,True,<1K
251,Ibu (ibu),ibu,Ibu,Indonesia,Indonesia,35,False,<100
252,Iha (ihp),ihp,Iha,Indonesia,Indonesia,5500,True,<10K
253,Iha Based Pidgin (ihb),ihb,Iha Based Pidgin,Indonesia,Indonesia,1,False,<10
254,Ile Ape (ila),ila,Ile Ape,Indonesia,Indonesia,15000,True,<100K
255,Ili’uun (ilu),ilu,Ili’uun,Indonesia,Indonesia,1400,True,<10K
256,Imroing (imr),imr,Imroing,Indonesia,Indonesia,560,True,<1K
257,Indonesian (ind),ind,Indonesian,Indonesia,Indonesia,198000000,True,<1B
258,Indonesian Bajau (bdl),bdl,Indonesian Bajau,Indonesia,Indonesia,150000,True,<1M
259,Indonesian Sign Language (inl),inl,Indonesian Sign Language,Indonesia,Indonesia,8000,True,<10K
260,Irarutu (irh),irh,Irarutu,Indonesia,Indonesia,4000,True,<10K
261,Isirawa (srl),srl,Isirawa,Indonesia,Indonesia,1800,True,<10K
262,Itik (itx),itx,Itik,Indonesia,Indonesia,80,True,<100
263,Jair Awyu (awv),awv,Jair Awyu,Indonesia,Indonesia,2300,True,<10K
264,Jambi Malay (jax),jax,Jambi Malay,Indonesia,Indonesia,1000000,True,<10M
265,Jangkang (djo),djo,Jangkang,Indonesia,Indonesia,37000,False,<100K
266,Javanese (jav),jav,Javanese,Indonesia,Indonesia,84300000,True,<100M
267,Javindo (jvd),jvd,Javindo,Indonesia,Indonesia,100,False,<1K
268,Jofotek-Bromnya (jbr),jbr,Jofotek-Bromnya,Indonesia,Indonesia,200,True,<1K
269,Kabola (klz),klz,Kabola,Indonesia,Indonesia,3900,True,<10K
270,Kaburi (uka),uka,Kaburi,Indonesia,Indonesia,600,True,<1K
271,Kadai (kzd),kzd,Kadai,Indonesia,Indonesia,350,False,<1K
272,Kaera (jka),jka,Kaera,Indonesia,Indonesia,5500,True,<10K
273,Kafoa (kpu),kpu,Kafoa,Indonesia,Indonesia,1000,True,<10K
274,Kaibobo (kzb),kzb,Kaibobo,Indonesia,Indonesia,500,False,<1K
275,Kaidipang (kzp),kzp,Kaidipang,Indonesia,Indonesia,26600,True,<100K
276,Kaimbulawa (zka),zka,Kaimbulawa,Indonesia,Indonesia,2200,True,<10K
277,Kais (kzm),kzm,Kais,Indonesia,Indonesia,700,True,<1K
278,Kaiy (tcq),tcq,Kaiy,Indonesia,Indonesia,220,True,<1K
279,Kalabra (kzz),kzz,Kalabra,Indonesia,Indonesia,3290,True,<10K
280,Kalao (kly),kly,Kalao,Indonesia,Indonesia,500,True,<1K
281,Kalumpang (kli),kli,Kalumpang,Indonesia,Indonesia,20000,True,<100K
282,Kamang (woi),woi,Kamang,Indonesia,Indonesia,6000,True,<10K
283,Kamarian (kzx),kzx,Kamarian,Indonesia,Indonesia,10,False,<100
284,Kamaru (kgx),kgx,Kamaru,Indonesia,Indonesia,3500,True,<10K
285,Kambera (xbr),xbr,Kambera,Indonesia,Indonesia,240000,True,<1M
286,Kamberau (irx),irx,Kamberau,Indonesia,Indonesia,1570,True,<10K
287,Kamoro (kgq),kgq,Kamoro,Indonesia,Indonesia,8000,True,<10K
288,Kangean (kkv),kkv,Kangean,Indonesia,Indonesia,110000,True,<1M
289,Kao (kax),kax,Kao,Indonesia,Indonesia,400,False,<1K
290,Kapauri (khp),khp,Kapauri,Indonesia,Indonesia,200,True,<1K
291,Kaptiau (kbi),kbi,Kaptiau,Indonesia,Indonesia,230,True,<1K
292,Karas (kgv),kgv,Karas,Indonesia,Indonesia,240,True,<1K
293,Karey (kyd),kyd,Karey,Indonesia,Indonesia,610,False,<1K
294,Karon Dori (kgw),kgw,Karon Dori,Indonesia,Indonesia,5000,True,<10K
295,Kata Kolok (bqy),bqy,Kata Kolok,Indonesia,Indonesia,1125,False,<10K
296,Kaur (vkk),vkk,Kaur,Indonesia,Indonesia,40000,False,<100K
297,Kaure (bpp),bpp,Kaure,Indonesia,Indonesia,450,True,<1K
298,Kauwera (xau),xau,Kauwera,Indonesia,Indonesia,400,True,<1K
299,Kawe (kgb),kgb,Kawe,Indonesia,Indonesia,600,True,<1K
300,Kayagar (kyt),kyt,Kayagar,Indonesia,Indonesia,10000,True,<100K
301,Kayan Mahakam (xay),xay,Kayan Mahakam,Indonesia,Indonesia,1300,False,<10K
302,Kayan River Kayan (xkn),xkn,Kayan River Kayan,Indonesia,Indonesia,2000,False,<10K
303,Kayeli (kzl),kzl,Kayeli,Indonesia,Indonesia,1,True,<10
304,Kayupulau (kzu),kzu,Kayupulau,Indonesia,Indonesia,50,True,<100
305,Ke’o (xxk),xxk,Ke’o,Indonesia,Indonesia,40000,True,<100K
306,Kedang (ksx),ksx,Kedang,Indonesia,Indonesia,30000,True,<100K
307,Kehu (khh),khh,Kehu,Indonesia,Indonesia,200,True,<1K
308,Kei (kei),kei,Kei,Indonesia,Indonesia,85000,True,<100K
309,Keijar (kdy),kdy,Keijar,Indonesia,Indonesia,370,True,<1K
310,Kelabit (kzi),kzi,Kelabit,"Indonesia, Malaysia",Indonesia,4000,True,<10K
311,Kemberano (bzp),bzp,Kemberano,Indonesia,Indonesia,1500,True,<10K
312,Kembra (xkw),xkw,Kembra,Indonesia,Indonesia,20,True,<100
313,Kemtuik (kmt),kmt,Kemtuik,Indonesia,Indonesia,2500,True,<10K
314,Kendayan (knx),knx,Kendayan,"Indonesia, Malaysia",Indonesia,321000,True,<1M
315,Keninjal (knl),knl,Keninjal,Indonesia,Indonesia,32000,False,<100K
316,Kepo’ (kuk),kuk,Kepo’,Indonesia,Indonesia,6000,False,<10K
317,Kereho (xke),xke,Kereho,Indonesia,Indonesia,500,False,<1K
318,Kerinci (kvr),kvr,Kerinci,Indonesia,Indonesia,260000,True,<1M
319,Ketengban (xte),xte,Ketengban,Indonesia,Indonesia,9970,True,<10K
320,Ketum (ktt),ktt,Ketum,Indonesia,Indonesia,900,True,<1K
321,Kimaghima (kig),kig,Kimaghima,Indonesia,Indonesia,3000,True,<10K
322,Kimki (sbt),sbt,Kimki,Indonesia,Indonesia,500,True,<1K
323,Kioko (ues),ues,Kioko,Indonesia,Indonesia,1000,False,<10K
324,Kirikiri (kiy),kiy,Kirikiri,Indonesia,Indonesia,250,True,<1K
325,Kisar (kje),kje,Kisar,Indonesia,Indonesia,20000,True,<100K
326,Klon (kyo),kyo,Klon,Indonesia,Indonesia,5000,True,<10K
327,Koba (kpd),kpd,Koba,Indonesia,Indonesia,870,False,<1K
328,Kodeoha (vko),vko,Kodeoha,Indonesia,Indonesia,1500,True,<10K
329,Kodi (kod),kod,Kodi,Indonesia,Indonesia,20000,True,<100K
