index,dataset,BLEU,SacreBLEU,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,CIDEr,prompt_id
0,xm3600_fil_seacrowd_imtext,0.0,0.010373124717567118,0.3402386452746208,0.19879199023291572,0.025828941589811156,0.1956937276538618,0.1935133374898427,0.0012846390411332242,0
1,xm3600_id_seacrowd_imtext,0.0,0.003000302079700673,0.11515627295092204,0.1325445927824625,0.013747585556096195,0.13256687661529126,0.13082273546164944,0.000700620652394864,0
2,xm3600_th_seacrowd_imtext,0.0,0.002930400837501783,0.02311023847654895,0.02144388849177984,0.008934953538241601,0.02144388849177984,0.02144388849177984,9.707250471773747e-05,0
3,xm3600_vi_seacrowd_imtext,0.0,0.0012061209435551509,0.2582002825180161,0.7162672935069343,0.0035026269702276708,0.7067473820644753,0.7073454658579547,6.222796627501809e-06,0
