index,dataset,BLEU,SacreBLEU,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,CIDEr,prompt_id
0,xm3600_fil_seacrowd_imtext,0.0,0.006778096002337941,0.4033586754493486,0.04461366662684011,0.007881611142480708,0.04255122378343856,0.043681502475973,0.00018830957032045414,0
1,xm3600_id_seacrowd_imtext,0.0,0.002439240814979155,0.13149126259680197,0.22076158733393042,0.038426425217411776,0.22190686023506714,0.2214932098858064,2.6260959163813966e-05,0
2,xm3600_th_seacrowd_imtext,0.0,0.002450422584185901,0.02722613583637435,0.015065478595329107,0.0034037918240920387,0.015680313719285657,0.015425365675544376,7.633188630295323e-06,0
3,xm3600_vi_seacrowd_imtext,0.0,0.003659477094415321,0.5299337762517282,1.4727014556329248,0.0018680677174547577,1.4256743307726032,1.4272827045673964,6.798634827629749e-05,0
